Token list:

 TK  Ln Type                      Lexeme
115  49:Token: 54: SEMI_COLON      ;                                                                                                   
116  50:Token: 35: ID              numDisks                                                                                            
117  50:Token: 40: ASSIGN          :=                                                                                                  
118  50:Token: 32: RDINT           RDINT                                                                                               
119  50:Token: 47: LEFT_PAREN      (                                                                                                   
120  50:Token: 53: RIGHT_PAREN     )                                                                                                   
121  50:Token: 54: SEMI_COLON      ;                                                                                                   
122  51:Token: 28: WRLN            WRLN                                                                                                
123  51:Token: 54: SEMI_COLON      ;                                                                                                   
124  51:Token: 28: WRLN            WRLN                                                                                                
125  51:Token: 54: SEMI_COLON      ;                                                                                                   
126  53:Token: 35: ID              TowersOfHanoi                                                                                       
127  53:Token: 47: LEFT_PAREN      (                                                                                                   
128  53:Token: 35: ID              numDisks                                                                                            
129  53:Token: 42: COMMA           ,                                                                                                   
130  53:Token: 38: INT_NUM         1                                                                                                   
131  53:Token: 42: COMMA           ,                                                                                                   
132  53:Token: 38: INT_NUM         3                                                                                                   
133  53:Token: 53: RIGHT_PAREN     )                                                                                                   
134  53:Token: 54: SEMI_COLON      ;                                                                                                   
135  54:Token: 9 : END             END                                                                                                 
136  54:Token: 35: ID              Towers                                                                                              
137  54:Token: 43: DOT             .                                                                                                   
138  55:Token: 62: EOF             End Of File                                                                                         
